ID,City,Date,Date Unixtime
12963,"תקומה, חוות יזרעם",2023-10-08T06:52:34,1696740754
13191,גברעם,2023-10-09T10:27:30,1696840050
13507,"מטווח ניר עם, מפלסים",2023-10-10T12:10:06,1696932606
13509,"שדרות, איבים, ניר עם",2023-10-10T12:12:52,1696932772
13775,ניר עוז,2023-10-11T12:49:55,1697021395
13897,אביבים,2023-10-11T16:52:34,1697035954
13917,בית שאן,2023-10-11T17:19:09,1697037549
13917,טבריה,2023-10-11T17:19:09,1697037549
13917,צפת,2023-10-11T17:19:09,1697037549
13930,"בית הלל, בן עמי, גשר הזיו, הילה, חוסן, כפר גלעדי, כפר ורדים, כפר יובל, מטולה, מנרה, מעונה, מעיין ברוך, מעיליא, מעלות תרשיחא, מרגליות, משגב עם, נהריה, סער, עברון, קריית שמונה, תל חי, אביבים, אבירים, אבן מנחם, אדמית, אזור תעשייה אכזיב מילואות, אזור תעשייה רמת דלתון, אילון, אלקוש, בית ספר שדה מירון, בצת, ברעם, ג'ש - גוש חלב, גונן, גורן, פסוטה, פקיעין, צבעון, צוריאל, קיבוץ דן, ראש הנקרה, ריחאנייה, רמות נפתלי, שאר ישוב, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שתולה, גורנות הגליל, געתון, דוב''ב, דישון, דלתון, דפנה, הגושרים, זרעית, חורפיש, חניתה, יחיעם, יערה, יפתח, יראון, כברי, כפר בלום, כפר סאלד, כרם בן זמרה, להבות הבשן, לימן, מרכז אזורי מבואות חרמון, מלכיה, מנות, מצובה, מתת, נאות מרדכי, נווה זיו, נטועה, סאסא, עבדון, ע'ג'ר, עין יעקב, עלמה, עמיר, ערב אל עראמשה",2023-10-11T17:21:45,1697037705
13930,"שבי ציון, מזרעה",2023-10-11T17:21:45,1697037705
13930,"מעונה, מעיין ברוך, מעיליא, מעלות תרשיחא, מרגליות, משגב עם, נהריה, סער, עברון, קריית שמונה, תל חי, אביבים, אבירים, אבן מנחם, אדמית, אזור תעשייה אכזיב מילואות, אזור תעשייה רמת דלתון, אילון, אלקוש, בית ספר שדה מירון, בצת, ברעם, ג'ש - גוש חלב, גונן, גורן, גורנות הגליל, געתון, דוב''ב, דישון, דלתון, דפנה, הגושרים, זרעית, חורפיש, חניתה, יחיעם, יערה, יפתח, יראון, כברי, כפר בלום, כפר סאלד, כרם בן זמרה, להבות הבשן, לימן, מלכיה, מנות, מצובה, מרכז אזורי מבואות חרמון, מתת, נאות מרדכי, נווה זיו, נטועה, סאסא, ע'ג'ר, עבדון, עין יעקב, עלמה, עמיר, ערב אל עראמשה, פסוטה, פקיעין, בית הלל, בן עמי, גשר הזיו, קיבוץ דן, הילה, חוסן, כפר גלעדי, כפר ורדים, כפר יובל, מטולה, מנרה, צבעון, צוריאל, ראש הנקרה, ריחאנייה, רמות נפתלי, שאר ישוב, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שתולה",2023-10-11T17:21:45,1697037705
13930,"נחף, נס עמים, נתיב השיירה, סאג'ור, עין אל אסד, עין המפרץ, עכו - אזור תעשייה, עכו, עמיעד, צורית גילון, צפת, ראמה, ראש פינה, שבי ציון, שומרת, שזור, שייח' דנון, אבו סנאן, אור הגנוז, איילת השחר, אמירים, אשרת, בר יוחאי, ג'וליס, גדות, גיתה, חולתה, טל-אל, ינוח-ג'ת, יסוד המעלה, ירכא, כיסרא סמיע, כישור, כליל, כפר יסיף, כפר שמאי, לוחמי הגטאות, לפידות, מזרעה, מירון, מרכז אזורי מרום גליל, משמר הירדן, ספסופה - כפר חושן, עין כמונים, עמוקה, עמקה, פלך, פרוד, אזור תעשייה חצור הגלילית, אזור תעשייה כרמיאל, אזור תעשייה צ.ח.ר, אליפלט, אמנון, בוסתן הגליל, ביריה, בית ג'אן, בית העמק, בענה, ג'דידה מכר, דיר אל-אסד, הר-חלוץ, חצור הגלילית, חרשים, טובא זנגריה, כורזים ורד הגליל, כפר הנשיא, כפר מסריק, כרכום, כרמיאל, לבון, מג'דל כרום, מחניים, מנחת מחניים, קדיתא, רגבה, שדה אליעזר, שפר, תובל",2023-10-11T17:21:45,1697037705
13930,"אבני איתן, אלוני הבשן, אלי עד, אניעם, אפיק, בני יהודה וגבעת יואב, גשור, האון, חד נס, חספין, יונתן, כנף, כפר חרוב, מבוא חמה, מיצר, מסדה, מעגן, מעלה גמלא, נאות גולן, נוב, נטור, עין גב, אזור תעשייה בני יהודה, אלמגור, חמת גדר, קדמת צבי, קצרין, קצרין - אזור תעשייה, קשת, רמות, רמת מגשימים, שער הגולן, תל קציר",2023-10-11T17:21:45,1697037705
13930,"אודם, אורטל, אל רום, בוקעתא, מג'דל שמס, מסעדה, מרום גולן, נווה אטי''ב, נמרוד, עין זיוון, עין קנייא, קלע, שעל",2023-10-11T17:21:45,1697037705
13930,"אזור תעשייה צמח, המכללה האקדמית כנרת",2023-10-11T17:21:45,1697037705
13933,"טבריה, כפר נהר הירדן, מצפה, אזור תעשייה קדמת גליל, אלומות, אפיקים, ארבל, אתר ההנצחה גולני, בית זרע, בית ירח, גבעת אבני, גינוסר, דגניה א, דגניה ב, הודיות, הזורעים, ואדי אל חמאם, חוקוק, יבנאל, כינרת מושבה, כינרת קבוצה, כפר זיתים, כפר חיטים, כפר כמא, לביא, לבנים, מגדל, פוריה כפר עבודה, פוריה נווה עובד, פוריה עילית, רביד, שדה אילן, שרונה",2023-10-11T17:24:03,1697037843
13933,אילניה,2023-10-11T17:24:03,1697037843
13933,"אשדות יעקב איחוד, אשדות יעקב מאוחד",2023-10-11T17:24:03,1697037843
13933,"בועיינה-נוג'ידאת, בית סוהר צלמון, טפחות, כלנית, כפר חנניה, מסד, מע'אר, מצפה נטופה, עילבון, עינבר",2023-10-11T17:24:03,1697037843
13933,"כחל, קדרים",2023-10-11T17:24:03,1697037843
13933,מנחמיה,2023-10-11T17:24:03,1697037843
13935,בית שאן,2023-10-11T17:26:09,1697037969
13935,"דישון, עלמה",2023-10-11T17:26:09,1697037969
13935,טבריה,2023-10-11T17:26:09,1697037969
13935,צפת,2023-10-11T17:26:09,1697037969
13935,רם און,2023-10-11T17:26:09,1697037969
13937,בית שאן,2023-10-11T17:29:58,1697038198
13937,טבריה,2023-10-11T17:29:58,1697038198
13937,צפת,2023-10-11T17:29:58,1697038198
13937,"דישון, עלמה",2023-10-11T17:29:58,1697038198
